ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,Designation,MonthlyIncome,TotalVisiting
1,41.0,Self Enquiry,3,6.0,Salaried,Female,3.0,Deluxe,3.0,Unmarried,1.0,1,2,1,Manager,20993.0,3.0
0,49.0,Company Invited,1,14.0,Salaried,Male,4.0,Deluxe,4.0,Divorced,2.0,0,3,1,Manager,20130.0,5.0
1,37.0,Self Enquiry,1,8.0,Free Lancer,Male,4.0,Basic,3.0,Unmarried,7.0,1,3,0,Executive,17090.0,3.0
0,33.0,Company Invited,1,9.0,Salaried,Female,3.0,Basic,3.0,Divorced,2.0,1,5,1,Executive,17909.0,3.0
0,36.0,Self Enquiry,1,8.0,Small Business,Male,3.0,Basic,4.0,Divorced,1.0,0,5,1,Executive,18468.0,2.0
0,32.0,Company Invited,1,8.0,Salaried,Male,3.0,Basic,3.0,Unmarried,1.0,0,5,1,Executive,18068.0,4.0
0,59.0,Self Enquiry,1,9.0,Small Business,Female,2.0,Basic,5.0,Divorced,5.0,1,2,1,Executive,17670.0,3.0
0,30.0,Self Enquiry,1,30.0,Salaried,Male,3.0,Basic,3.0,Married,2.0,0,2,0,Executive,17693.0,4.0
0,38.0,Company Invited,1,29.0,Salaried,Male,4.0,Standard,3.0,Unmarried,1.0,0,3,0,Senior Manager,24526.0,2.0
0,36.0,Self Enquiry,1,33.0,Small Business,Male,3.0,Deluxe,3.0,Divorced,7.0,0,3,1,Manager,20237.0,3.0
0,35.0,Self Enquiry,1,22.0,Small Business,Male,2.0,Basic,4.0,Divorced,1.0,0,3,1,Executive,17426.0,3.0
0,36.0,Self Enquiry,1,21.0,Salaried,Female,4.0,Deluxe,3.0,Unmarried,1.0,1,3,0,Manager,22347.0,2.0
0,31.0,Self Enquiry,1,32.0,Salaried,Male,3.0,Basic,3.0,Married,2.0,0,3,0,Executive,17911.0,3.0
0,34.0,Self Enquiry,1,25.0,Small Business,Male,3.0,Basic,3.0,Married,1.0,0,3,0,Executive,17661.0,5.0
1,28.0,Self Enquiry,1,30.0,Salaried,Male,4.0,Basic,3.0,Unmarried,6.0,1,2,0,Executive,17028.0,2.0
0,29.0,Self Enquiry,1,27.0,Salaried,Female,2.0,Standard,5.0,Married,2.0,0,5,1,Senior Manager,24980.0,3.0
0,32.0,Self Enquiry,1,11.0,Salaried,Male,2.0,Basic,4.0,Married,1.0,1,2,1,Executive,18298.0,3.0
0,22.0,Company Invited,1,22.0,Small Business,Male,2.0,Basic,3.0,Married,2.0,1,3,0,Executive,17935.0,3.0
0,53.0,Self Enquiry,3,8.0,Salaried,Female,4.0,Super Deluxe,3.0,Divorced,3.0,0,3,1,AVP,30427.0,3.0
0,36.0,Self Enquiry,1,8.0,Salaried,Male,3.0,Basic,3.0,Unmarried,6.0,1,4,0,Executive,22347.0,3.0
0,36.0,Company Invited,1,17.0,Salaried,Female,2.0,Deluxe,3.0,Married,1.0,0,3,1,Manager,22347.0,5.0
