total_bill,tip,sex,smoker,day,time,size,time_encoded_mean,time_encoded_median,time_rank_encoded,time_frequency_encoded
16.99,1.01,Female,No,Sun,Dinner,2,1,1,1,176
10.34,1.66,Male,No,Sun,Dinner,3,1,1,1,176
21.01,3.5,Male,No,Sun,Dinner,3,1,1,1,176
23.68,3.31,Male,No,Sun,Dinner,2,1,1,1,176
24.59,3.61,Female,No,Sun,Dinner,4,1,1,1,176
25.29,4.71,Male,No,Sun,Dinner,4,1,1,1,176
8.77,2.0,Male,No,Sun,Dinner,2,1,1,1,176
26.88,3.12,Male,No,Sun,Dinner,4,1,1,1,176
15.04,1.96,Male,No,Sun,Dinner,2,1,1,1,176
14.78,3.23,Male,No,Sun,Dinner,2,1,1,1,176
10.27,1.71,Male,No,Sun,Dinner,2,1,1,1,176
35.26,5.0,Female,No,Sun,Dinner,4,1,1,1,176
15.42,1.57,Male,No,Sun,Dinner,2,1,1,1,176
18.43,3.0,Male,No,Sun,Dinner,4,1,1,1,176
14.83,3.02,Female,No,Sun,Dinner,2,1,1,1,176
21.58,3.92,Male,No,Sun,Dinner,2,1,1,1,176
10.33,1.67,Female,No,Sun,Dinner,3,1,1,1,176
16.29,3.71,Male,No,Sun,Dinner,3,1,1,1,176
16.97,3.5,Female,No,Sun,Dinner,3,1,1,1,176
20.65,3.35,Male,No,Sat,Dinner,3,1,1,1,176
17.92,4.08,Male,No,Sat,Dinner,2,1,1,1,176
20.29,2.75,Female,No,Sat,Dinner,2,1,1,1,176
15.77,2.23,Female,No,Sat,Dinner,2,1,1,1,176
39.42,7.58,Male,No,Sat,Dinner,4,1,1,1,176
19.82,3.18,Male,No,Sat,Dinner,2,1,1,1,176
17.81,2.34,Male,No,Sat,Dinner,4,1,1,1,176
13.37,2.0,Male,No,Sat,Dinner,2,1,1,1,176
12.69,2.0,Male,No,Sat,Dinner,2,1,1,1,176
21.7,4.3,Male,No,Sat,Dinner,2,1,1,1,176
19.65,3.0,Female,No,Sat,Dinner,2,1,1,1,176
9.55,1.45,Male,No,Sat,Dinner,2,1,1,1,176
18.35,2.5,Male,No,Sat,Dinner,4,1,1,1,176
15.06,3.0,Female,No,Sat,Dinner,2,1,1,1,176
20.69,2.45,Female,No,Sat,Dinner,4,1,1,1,176
17.78,3.27,Male,No,Sat,Dinner,2,1,1,1,176
24.06,3.6,Male,No,Sat,Dinner,3,1,1,1,176
16.31,2.0,Male,No,Sat,Dinner,3,1,1,1,176
16.93,3.07,Female,No,Sat,Dinner,3,1,1,1,176
18.69,2.31,Male,No,Sat,Dinner,3,1,1,1,176
31.27,5.0,Male,No,Sat,Dinner,3,1,1,1,176
16.04,2.24,Male,No,Sat,Dinner,3,1,1,1,176
17.46,2.54,Male,No,Sun,Dinner,2,1,1,1,176
13.94,3.06,Male,No,Sun,Dinner,2,1,1,1,176
9.68,1.32,Male,No,Sun,Dinner,2,1,1,1,176
30.4,5.6,Male,No,Sun,Dinner,4,1,1,1,176
18.29,3.0,Male,No,Sun,Dinner,2,1,1,1,176
22.23,5.0,Male,No,Sun,Dinner,2,1,1,1,176
32.4,6.0,Male,No,Sun,Dinner,4,1,1,1,176
28.55,2.05,Male,No,Sun,Dinner,3,1,1,1,176
18.04,3.0,Male,No,Sun,Dinner,2,1,1,1,176
12.54,2.5,Male,No,Sun,Dinner,2,1,1,1,176
10.29,2.6,Female,No,Sun,Dinner,2,1,1,1,176
34.81,5.2,Female,No,Sun,Dinner,4,1,1,1,176
9.94,1.56,Male,No,Sun,Dinner,2,1,1,1,176
25.56,4.34,Male,No,Sun,Dinner,4,1,1,1,176
19.49,3.51,Male,No,Sun,Dinner,2,1,1,1,176
38.01,3.0,Male,Yes,Sat,Dinner,4,1,1,1,176
26.41,1.5,Female,No,Sat,Dinner,2,1,1,1,176
11.24,1.76,Male,Yes,Sat,Dinner,2,1,1,1,176
48.27,6.73,Male,No,Sat,Dinner,4,1,1,1,176
20.29,3.21,Male,Yes,Sat,Dinner,2,1,1,1,176
13.81,2.0,Male,Yes,Sat,Dinner,2,1,1,1,176
11.02,1.98,Male,Yes,Sat,Dinner,2,1,1,1,176
18.29,3.76,Male,Yes,Sat,Dinner,4,1,1,1,176
17.59,2.64,Male,No,Sat,Dinner,3,1,1,1,176
20.08,3.15,Male,No,Sat,Dinner,3,1,1,1,176
16.45,2.47,Female,No,Sat,Dinner,2,1,1,1,176
3.07,1.0,Female,Yes,Sat,Dinner,1,1,1,1,176
20.23,2.01,Male,No,Sat,Dinner,2,1,1,1,176
15.01,2.09,Male,Yes,Sat,Dinner,2,1,1,1,176
12.02,1.97,Male,No,Sat,Dinner,2,1,1,1,176
17.07,3.0,Female,No,Sat,Dinner,3,1,1,1,176
26.86,3.14,Female,Yes,Sat,Dinner,2,1,1,1,176
25.28,5.0,Female,Yes,Sat,Dinner,2,1,1,1,176
14.73,2.2,Female,No,Sat,Dinner,2,1,1,1,176
10.51,1.25,Male,No,Sat,Dinner,2,1,1,1,176
17.92,3.08,Male,Yes,Sat,Dinner,2,1,1,1,176
27.2,4.0,Male,No,Thur,Lunch,4,0,0,0,68
22.76,3.0,Male,No,Thur,Lunch,2,0,0,0,68
17.29,2.71,Male,No,Thur,Lunch,2,0,0,0,68
19.44,3.0,Male,Yes,Thur,Lunch,2,0,0,0,68
16.66,3.4,Male,No,Thur,Lunch,2,0,0,0,68
10.07,1.83,Female,No,Thur,Lunch,1,0,0,0,68
32.68,5.0,Male,Yes,Thur,Lunch,2,0,0,0,68
15.98,2.03,Male,No,Thur,Lunch,2,0,0,0,68
34.83,5.17,Female,No,Thur,Lunch,4,0,0,0,68
13.03,2.0,Male,No,Thur,Lunch,2,0,0,0,68
18.28,4.0,Male,No,Thur,Lunch,2,0,0,0,68
24.71,5.85,Male,No,Thur,Lunch,2,0,0,0,68
21.16,3.0,Male,No,Thur,Lunch,2,0,0,0,68
28.97,3.0,Male,Yes,Fri,Dinner,2,1,1,1,176
22.49,3.5,Male,No,Fri,Dinner,2,1,1,1,176
5.75,1.0,Female,Yes,Fri,Dinner,2,1,1,1,176
16.32,4.3,Female,Yes,Fri,Dinner,2,1,1,1,176
22.75,3.25,Female,No,Fri,Dinner,2,1,1,1,176
40.17,4.73,Male,Yes,Fri,Dinner,4,1,1,1,176
27.28,4.0,Male,Yes,Fri,Dinner,2,1,1,1,176
12.03,1.5,Male,Yes,Fri,Dinner,2,1,1,1,176
21.01,3.0,Male,Yes,Fri,Dinner,2,1,1,1,176
12.46,1.5,Male,No,Fri,Dinner,2,1,1,1,176
11.35,2.5,Female,Yes,Fri,Dinner,2,1,1,1,176
15.38,3.0,Female,Yes,Fri,Dinner,2,1,1,1,176
44.3,2.5,Female,Yes,Sat,Dinner,3,1,1,1,176
22.42,3.48,Female,Yes,Sat,Dinner,2,1,1,1,176
20.92,4.08,Female,No,Sat,Dinner,2,1,1,1,176
15.36,1.64,Male,Yes,Sat,Dinner,2,1,1,1,176
20.49,4.06,Male,Yes,Sat,Dinner,2,1,1,1,176
25.21,4.29,Male,Yes,Sat,Dinner,2,1,1,1,176
18.24,3.76,Male,No,Sat,Dinner,2,1,1,1,176
14.31,4.0,Female,Yes,Sat,Dinner,2,1,1,1,176
14.0,3.0,Male,No,Sat,Dinner,2,1,1,1,176
7.25,1.0,Female,No,Sat,Dinner,1,1,1,1,176
38.07,4.0,Male,No,Sun,Dinner,3,1,1,1,176
23.95,2.55,Male,No,Sun,Dinner,2,1,1,1,176
25.71,4.0,Female,No,Sun,Dinner,3,1,1,1,176
17.31,3.5,Female,No,Sun,Dinner,2,1,1,1,176
29.93,5.07,Male,No,Sun,Dinner,4,1,1,1,176
10.65,1.5,Female,No,Thur,Lunch,2,0,0,0,68
12.43,1.8,Female,No,Thur,Lunch,2,0,0,0,68
24.08,2.92,Female,No,Thur,Lunch,4,0,0,0,68
11.69,2.31,Male,No,Thur,Lunch,2,0,0,0,68
13.42,1.68,Female,No,Thur,Lunch,2,0,0,0,68
14.26,2.5,Male,No,Thur,Lunch,2,0,0,0,68
15.95,2.0,Male,No,Thur,Lunch,2,0,0,0,68
12.48,2.52,Female,No,Thur,Lunch,2,0,0,0,68
29.8,4.2,Female,No,Thur,Lunch,6,0,0,0,68
8.52,1.48,Male,No,Thur,Lunch,2,0,0,0,68
14.52,2.0,Female,No,Thur,Lunch,2,0,0,0,68
11.38,2.0,Female,No,Thur,Lunch,2,0,0,0,68
22.82,2.18,Male,No,Thur,Lunch,3,0,0,0,68
19.08,1.5,Male,No,Thur,Lunch,2,0,0,0,68
20.27,2.83,Female,No,Thur,Lunch,2,0,0,0,68
11.17,1.5,Female,No,Thur,Lunch,2,0,0,0,68
12.26,2.0,Female,No,Thur,Lunch,2,0,0,0,68
18.26,3.25,Female,No,Thur,Lunch,2,0,0,0,68
8.51,1.25,Female,No,Thur,Lunch,2,0,0,0,68
10.33,2.0,Female,No,Thur,Lunch,2,0,0,0,68
14.15,2.0,Female,No,Thur,Lunch,2,0,0,0,68
16.0,2.0,Male,Yes,Thur,Lunch,2,0,0,0,68
13.16,2.75,Female,No,Thur,Lunch,2,0,0,0,68
17.47,3.5,Female,No,Thur,Lunch,2,0,0,0,68
34.3,6.7,Male,No,Thur,Lunch,6,0,0,0,68
41.19,5.0,Male,No,Thur,Lunch,5,0,0,0,68
27.05,5.0,Female,No,Thur,Lunch,6,0,0,0,68
16.43,2.3,Female,No,Thur,Lunch,2,0,0,0,68
8.35,1.5,Female,No,Thur,Lunch,2,0,0,0,68
18.64,1.36,Female,No,Thur,Lunch,3,0,0,0,68
11.87,1.63,Female,No,Thur,Lunch,2,0,0,0,68
9.78,1.73,Male,No,Thur,Lunch,2,0,0,0,68
